Original Extrapolated Smoother  Refactored Extrapolated Smoother
0.0000000000e+00  0.0000000000e+00,
6.1585985558e-06  6.1585985558e-06,
1.2257886441e-05  1.2257886441e-05,
1.8239124179e-05  1.8239124179e-05,
2.4044709180e-05  2.4044709180e-05,
2.9618730488e-05  2.9618730488e-05,
3.4907507229e-05  3.4907507229e-05,
3.9860105594e-05  3.9860105594e-05,
4.4428829352e-05  4.4428829352e-05,
4.8569679195e-05  4.8569679195e-05,
5.2242776478e-05  5.2242776478e-05,
5.5412747264e-05  5.5412747264e-05,
5.8049063002e-05  5.8049063002e-05,
6.0126334531e-05  6.0126334531e-05,
6.1624556589e-05  6.1624556589e-05,
6.2529300481e-05  6.2529300481e-05,
6.2831853027e-05  6.2831853027e-05,
6.2529300481e-05  6.2529300481e-05,
6.1624556589e-05  6.1624556589e-05,
6.0126334531e-05  6.0126334531e-05,
5.8049063002e-05  5.8049063002e-05,
5.5412747264e-05  5.5412747264e-05,
5.2242776478e-05  5.2242776478e-05,
4.8569679195e-05  4.8569679195e-05,
4.4428829352e-05  4.4428829352e-05,
3.9860105594e-05  3.9860105594e-05,
3.4907507229e-05  3.4907507229e-05,
2.9618730488e-05  2.9618730488e-05,
2.4044709180e-05  2.4044709180e-05,
1.8239124179e-05  1.8239124179e-05,
1.2257886441e-05  1.2257886441e-05,
6.1585985558e-06  6.1585985558e-06,
7.6946827700e-21  7.6946827700e-21,
-6.1585985558e-06  -6.1585985558e-06,
-1.2257886441e-05  -1.2257886441e-05,
-1.8239124179e-05  -1.8239124179e-05,
-2.4044709180e-05  -2.4044709180e-05,
-2.9618730488e-05  -2.9618730488e-05,
-3.4907507229e-05  -3.4907507229e-05,
-3.9860105594e-05  -3.9860105594e-05,
-4.4428829352e-05  -4.4428829352e-05,
-4.8569679195e-05  -4.8569679195e-05,
-5.2242776478e-05  -5.2242776478e-05,
-5.5412747264e-05  -5.5412747264e-05,
-5.8049063002e-05  -5.8049063002e-05,
-6.0126334531e-05  -6.0126334531e-05,
-6.1624556589e-05  -6.1624556589e-05,
-6.2529300481e-05  -6.2529300481e-05,
-6.2831853027e-05  -6.2831853027e-05,
-6.2529300481e-05  -6.2529300481e-05,
-6.1624556589e-05  -6.1624556589e-05,
-6.0126334531e-05  -6.0126334531e-05,
-5.8049063002e-05  -5.8049063002e-05,
-5.5412747264e-05  -5.5412747264e-05,
-5.2242776478e-05  -5.2242776478e-05,
-4.8569679195e-05  -4.8569679195e-05,
-4.4428829352e-05  -4.4428829352e-05,
-3.9860105594e-05  -3.9860105594e-05,
-3.4907507229e-05  -3.4907507229e-05,
-2.9618730488e-05  -2.9618730488e-05,
-2.4044709180e-05  -2.4044709180e-05,
-1.8239124179e-05  -1.8239124179e-05,
-1.2257886441e-05  -1.2257886441e-05,
-6.1585985558e-06  -6.1585985558e-06,
6.6629011443e-01  6.6629011443e-01,
6.7022050042e-01  6.7022050042e-01,
6.7992900897e-01  6.7992900897e-01,
6.9435161546e-01  6.9435161546e-01,
7.1209963700e-01  7.1209963700e-01,
7.3183867796e-01  7.3183867796e-01,
7.5239301411e-01  7.5239301411e-01,
7.7284724603e-01  7.7284724603e-01,
7.9247545208e-01  7.9247545208e-01,
8.1073798452e-01  8.1073798452e-01,
8.2721323365e-01  8.2721323365e-01,
8.4158721521e-01  8.4158721521e-01,
8.5361592442e-01  8.5361592442e-01,
8.6311990235e-01  8.6311990235e-01,
8.6996644915e-01  8.6996644915e-01,
8.7406727750e-01  8.7406727750e-01,
8.7537110362e-01  8.7537110362e-01,
8.7386329482e-01  8.7386329482e-01,
8.6956372126e-01  8.6956372126e-01,
8.6252908458e-01  8.6252908458e-01,
8.5285360172e-01  8.5285360172e-01,
8.4067651490e-01  8.4067651490e-01,
8.2618487283e-01  8.2618487283e-01,
8.0963139433e-01  8.0963139433e-01,
7.9134007112e-01  7.9134007112e-01,
7.7174343646e-01  7.7174343646e-01,
7.5139152701e-01  7.5139152701e-01,
7.3101691319e-01  7.3101691319e-01,
7.1153163133e-01  7.1153163133e-01,
6.9408789486e-01  6.9408789486e-01,
6.7996923892e-01  6.7996923892e-01,
6.7048633007e-01  6.7048633007e-01,
6.6662835245e-01  6.6662835245e-01,
6.6879268211e-01  6.6879268211e-01,
6.7662811015e-01  6.7662811015e-01,
6.8915487677e-01  6.8915487677e-01,
7.0511597706e-01  7.0511597706e-01,
7.2321025143e-01  7.2321025143e-01,
7.4232279764e-01  7.4232279764e-01,
7.6152140505e-01  7.6152140505e-01,
7.8009423834e-01  7.8009423834e-01,
7.9747789172e-01  7.9747789172e-01,
8.1325044196e-01  8.1325044196e-01,
8.2708082976e-01  8.2708082976e-01,
8.3872147977e-01  8.3872147977e-01,
8.4798211555e-01  8.4798211555e-01,
8.5472571298e-01  8.5472571298e-01,
8.5885664723e-01  8.5885664723e-01,
8.6031892863e-01  8.6031892863e-01,
8.5909170880e-01  8.5909170880e-01,
8.5518981633e-01  8.5518981633e-01,
8.4866296259e-01  8.4866296259e-01,
8.3960010178e-01  8.3960010178e-01,
8.2813079057e-01  8.2813079057e-01,
8.1443694886e-01  8.1443694886e-01,
7.9875653039e-01  7.9875653039e-01,
7.8140975478e-01  7.8140975478e-01,
7.6280689229e-01  7.6280689229e-01,
7.4350024357e-01  7.4350024357e-01,
7.2419459577e-01  7.2419459577e-01,
7.0582574692e-01  7.0582574692e-01,
6.8953187098e-01  6.8953187098e-01,
6.7666751419e-01  6.7666751419e-01,
6.6856743667e-01  6.6856743667e-01,
1.0000000000e+00  1.0000000000e+00,
1.0001125700e+00  1.0001125700e+00,
1.0000000000e+00  1.0000000000e+00,
1.0002879392e+00  1.0002879392e+00,
1.0000000000e+00  1.0000000000e+00,
1.0003740858e+00  1.0003740858e+00,
1.0000000000e+00  1.0000000000e+00,
1.0004002099e+00  1.0004002099e+00,
1.0000000000e+00  1.0000000000e+00,
1.0004004329e+00  1.0004004329e+00,
1.0000000000e+00  1.0000000000e+00,
1.0003935392e+00  1.0003935392e+00,
1.0000000000e+00  1.0000000000e+00,
1.0003876432e+00  1.0003876432e+00,
1.0000000000e+00  1.0000000000e+00,
1.0003858434e+00  1.0003858434e+00,
1.0000000000e+00  1.0000000000e+00,
1.0003890656e+00  1.0003890656e+00,
1.0000000000e+00  1.0000000000e+00,
1.0003970634e+00  1.0003970634e+00,
1.0000000000e+00  1.0000000000e+00,
1.0004082996e+00  1.0004082996e+00,
1.0000000000e+00  1.0000000000e+00,
1.0004187012e+00  1.0004187012e+00,
1.0000000000e+00  1.0000000000e+00,
1.0004186676e+00  1.0004186676e+00,
1.0000000000e+00  1.0000000000e+00,
1.0003879918e+00  1.0003879918e+00,
1.0000000000e+00  1.0000000000e+00,
1.0002938442e+00  1.0002938442e+00,
1.0000000000e+00  1.0000000000e+00,
1.0001132034e+00  1.0001132034e+00,
1.0000000000e+00  1.0000000000e+00,
9.9988679661e-01  9.9988679661e-01,
1.0000000000e+00  1.0000000000e+00,
9.9970615583e-01  9.9970615583e-01,
1.0000000000e+00  1.0000000000e+00,
9.9961200816e-01  9.9961200816e-01,
1.0000000000e+00  1.0000000000e+00,
9.9958133237e-01  9.9958133237e-01,
1.0000000000e+00  1.0000000000e+00,
9.9958129877e-01  9.9958129877e-01,
1.0000000000e+00  1.0000000000e+00,
9.9959170044e-01  9.9959170044e-01,
1.0000000000e+00  1.0000000000e+00,
9.9960293665e-01  9.9960293665e-01,
1.0000000000e+00  1.0000000000e+00,
9.9961093443e-01  9.9961093443e-01,
1.0000000000e+00  1.0000000000e+00,
9.9961415660e-01  9.9961415660e-01,
1.0000000000e+00  1.0000000000e+00,
9.9961235682e-01  9.9961235682e-01,
1.0000000000e+00  1.0000000000e+00,
9.9960646085e-01  9.9960646085e-01,
