Original Extrapolated Smoother  Refactored Extrapolated Smoother
0.0000000000e+00  0.0000000000e+00
1.2257886441e-05  1.2257886441e-05
2.4044709180e-05  2.4044709180e-05
3.4907507229e-05  3.4907507229e-05
4.4428829352e-05  4.4428829352e-05
5.2242776478e-05  5.2242776478e-05
5.8049063002e-05  5.8049063002e-05
6.1624556589e-05  6.1624556589e-05
6.2831853027e-05  6.2831853027e-05
6.1624556589e-05  6.1624556589e-05
5.8049063002e-05  5.8049063002e-05
5.2242776478e-05  5.2242776478e-05
4.4428829352e-05  4.4428829352e-05
3.4907507229e-05  3.4907507229e-05
2.4044709180e-05  2.4044709180e-05
1.2257886441e-05  1.2257886441e-05
7.6946827700e-21  7.6946827700e-21
-1.2257886441e-05  -1.2257886441e-05
-2.4044709180e-05  -2.4044709180e-05
-3.4907507229e-05  -3.4907507229e-05
-4.4428829352e-05  -4.4428829352e-05
-5.2242776478e-05  -5.2242776478e-05
-5.8049063002e-05  -5.8049063002e-05
-6.1624556589e-05  -6.1624556589e-05
-6.2831853027e-05  -6.2831853027e-05
-6.1624556589e-05  -6.1624556589e-05
-5.8049063002e-05  -5.8049063002e-05
-5.2242776478e-05  -5.2242776478e-05
-4.4428829352e-05  -4.4428829352e-05
-3.4907507229e-05  -3.4907507229e-05
-2.4044709180e-05  -2.4044709180e-05
-1.2257886441e-05  -1.2257886441e-05
6.6770938447e-01  6.6770938447e-01
7.0212017276e-01  6.9155161703e-01
7.5402206231e-01  7.3295523955e-01
8.1254087424e-01  7.8118940100e-01
8.6896465003e-01  8.2787788737e-01
9.1759623525e-01  8.6785643837e-01
9.5476137018e-01  8.9807420735e-01
9.7809728011e-01  9.1675025560e-01
9.8623710970e-01  9.2294515078e-01
9.7870104120e-01  9.1637596546e-01
9.5587939473e-01  8.9736828820e-01
9.1907440774e-01  8.6691525313e-01
8.7063419237e-01  8.2687532737e-01
8.1428332603e-01  7.8040500303e-01
7.5578590984e-01  7.3274129867e-01
7.0369420787e-01  6.9203794509e-01
6.6820611761e-01  6.6820611761e-01
6.5525735533e-01  6.6691361811e-01
6.6142459040e-01  6.8446920157e-01
6.7822461710e-01  7.1210294010e-01
6.9834312465e-01  7.4210198965e-01
7.1721752220e-01  7.6937667680e-01
7.3231739071e-01  7.9082849725e-01
7.4229975507e-01  8.0462483081e-01
7.4648078196e-01  8.0977274087e-01
7.4456973746e-01  8.0591676197e-01
7.3658926120e-01  7.9327642402e-01
7.2295481680e-01  7.7269461368e-01
7.0473926415e-01  7.4582602681e-01
6.8421372299e-01  7.1556519623e-01
6.6579112232e-01  6.8685794509e-01
6.5708618776e-01  6.6765474349e-01
1.0000000000e+00  8.6511846543e-01
1.0173731332e+00  9.0719807401e-01
1.0368661302e+00  9.6386965636e-01
1.0590269383e+00  1.0257252061e+00
1.0826869396e+00  1.0853152452e+00
1.1055871234e+00  1.1377204641e+00
1.1250690459e+00  1.1792469619e+00
1.1386711867e+00  1.2068686023e+00
1.1446017981e+00  1.2183300674e+00
1.1420574187e+00  1.2124635382e+00
1.1313571701e+00  1.1894114315e+00
1.1138765882e+00  1.1506357863e+00
1.0917833811e+00  1.0987906982e+00
1.0675939189e+00  1.0377157851e+00
1.0435805848e+00  9.7288669333e-01
1.0210902683e+00  9.1215017835e-01
1.0000000000e+00  8.6439643792e-01
9.7890973168e-01  8.3315229391e-01
9.5641941524e-01  8.1230394069e-01
9.3240608108e-01  7.9283430392e-01
9.0821661889e-01  7.7042821258e-01
8.8612341179e-01  7.4632587516e-01
8.6864282992e-01  7.2494793670e-01
8.5794258135e-01  7.1131831764e-01
8.5539820186e-01  7.0905191907e-01
8.6132881330e-01  7.1910197927e-01
8.7493095414e-01  7.3939031049e-01
8.9441287662e-01  7.6535034076e-01
9.1731306038e-01  7.9128727872e-01
9.4097306165e-01  8.1240378967e-01
9.6313386980e-01  8.2740155136e-01
9.8262686682e-01  8.4126713539e-01
1.0000000000e+00  1.0000000000e+00
1.0327625250e+00  1.0157844412e+00
1.0711811854e+00  1.0350997141e+00
1.1177444538e+00  1.0602764555e+00
1.1709413530e+00  1.0913495827e+00
1.2258593086e+00  1.1255459669e+00
1.2753543872e+00  1.1577618338e+00
1.3117274559e+00  1.1819895370e+00
1.3287026960e+00  1.1932108606e+00
1.3231626026e+00  1.1890429097e+00
1.2960232041e+00  1.1704982113e+00
1.2519291036e+00  1.1415726899e+00
1.1979119410e+00  1.1078452511e+00
1.1414739191e+00  1.0746458760e+00
1.0885790913e+00  1.0454677052e+00
1.0419214609e+00  1.0211443841e+00
1.0000000000e+00  1.0000000000e+00
9.5807853905e-01  9.7885561592e-01
9.1142090870e-01  9.5453229482e-01
8.5852608089e-01  9.2535412402e-01
8.0208805896e-01  8.9215474887e-01
7.4807089637e-01  8.5842731011e-01
7.0397679587e-01  8.2950178868e-01
6.7683739740e-01  8.1095709026e-01
6.7129730399e-01  8.0678913944e-01
6.8827254412e-01  8.1801046296e-01
7.2464561281e-01  8.4223816624e-01
7.7414069145e-01  8.7445403305e-01
8.2905864703e-01  9.0865041726e-01
8.8225554620e-01  9.3972354452e-01
9.2881881455e-01  9.6490028587e-01
9.6723747505e-01  9.8421555881e-01
1.0000000000e+00  1.0000000000e+00
1.0115625563e+00  1.0241211665e+00
1.0267896211e+00  1.0558139458e+00
1.0482948517e+00  1.0987291496e+00
1.0766425728e+00  1.1506499245e+00
1.1095904353e+00  1.2045936370e+00
1.1420586909e+00  1.2519841982e+00
1.1673221469e+00  1.2856278263e+00
1.1792952691e+00  1.3009508635e+00
1.1749127366e+00  1.2957791807e+00
1.1553230371e+00  1.2700872462e+00
1.1252895910e+00  1.2266405879e+00
1.0912900053e+00  1.1718679373e+00
1.0593669518e+00  1.1152189206e+00
1.0334693550e+00  1.0659547915e+00
1.0144678352e+00  1.0285661471e+00
1.0000000000e+00  1.0000000000e+00
9.8553216476e-01  9.7143385293e-01
9.6653064497e-01  9.3404520852e-01
9.4063304815e-01  8.8478107938e-01
9.0870999467e-01  8.2813206269e-01
8.7471040904e-01  7.7335941205e-01
8.4467696289e-01  7.2991275385e-01
8.2508726336e-01  7.0422081935e-01
8.2070473086e-01  6.9904913650e-01
8.3267785306e-01  7.1437217372e-01
8.5794130907e-01  7.4801580177e-01
8.9040956472e-01  7.9540636300e-01
9.2335742718e-01  8.4935007550e-01
9.5170514826e-01  9.0127085042e-01
9.7321037890e-01  9.4418605425e-01
9.8843744369e-01  9.7587883348e-01
1.0000000000e+00  1.0000000000e+00
1.0123779825e+00  1.0053128758e+00
1.0314221467e+00  1.0148742547e+00
1.0596898637e+00  1.0304903481e+00
1.0937412252e+00  1.0506565545e+00
1.1260951031e+00  1.0716767847e+00
1.1501561120e+00  1.0897163500e+00
1.1640853250e+00  1.1022188270e+00
1.1698972306e+00  1.1079297103e+00
1.1688923664e+00  1.1060564363e+00
1.1587629609e+00  1.0957980598e+00
1.1360054735e+00  1.0771230426e+00
1.1013168440e+00  1.0524204633e+00
1.0621773253e+00  1.0272883591e+00
1.0293368538e+00  1.0086324047e+00
1.0094861307e+00  1.0003705189e+00
1.0000000000e+00  1.0000000000e+00
9.9051386935e-01  9.9962948111e-01
9.7066314616e-01  9.9136759530e-01
9.3782267467e-01  9.7271164093e-01
8.9868315600e-01  9.4757953673e-01
8.6399452650e-01  9.2287695736e-01
8.4123703910e-01  9.0420194021e-01
8.3110763356e-01  8.9394356373e-01
8.3010276943e-01  8.9207028971e-01
8.3591467501e-01  8.9778117304e-01
8.4984388802e-01  9.1028365002e-01
8.7390489690e-01  9.2832321534e-01
9.0625877481e-01  9.4934344550e-01
9.4031013625e-01  9.6950965190e-01
9.6857785327e-01  9.8512574531e-01
9.8762201753e-01  9.9468712418e-01
9.9047620796e-01  9.9047620796e-01
9.1787793646e-01  9.1147231477e-01
9.7308704587e-01  9.6328812176e-01
1.0124355474e+00  9.9250772076e-01
1.0572195311e+00  1.0413964061e+00
1.0788030429e+00  1.0567828545e+00
1.0301830576e+00  1.0196550721e+00
1.0160658495e+00  1.0022194822e+00
1.0057935991e+00  9.9923908661e-01
1.0208914867e+00  1.0072948835e+00
1.0330994044e+00  1.0229971164e+00
1.0723253168e+00  1.0510204719e+00
1.0384779949e+00  1.0233098515e+00
9.4576171387e-01  9.2571505297e-01
9.2210917225e-01  9.1245946708e-01
8.8512852362e-01  8.7846252709e-01
9.9944787962e-01  9.9944787962e-01
1.1119911951e+00  1.1186571917e+00
1.0773197587e+00  1.0869694639e+00
1.0530106371e+00  1.0730572980e+00
9.6143636156e-01  9.7660450491e-01
9.2748434645e-01  9.4878919137e-01
9.6689544995e-01  9.7699773792e-01
9.7909261611e-01  9.9268921938e-01
9.9420530955e-01  1.0007598220e+00
9.8389624181e-01  9.9774260903e-01
9.6980319974e-01  9.8033118528e-01
9.2020107529e-01  9.4222126370e-01
9.4229047381e-01  9.5811359883e-01
9.7737815498e-01  9.9730598165e-01
1.0203815022e+00  1.0301804263e+00
1.0547206370e+00  1.0611262587e+00
9.8029275120e-01  9.8029275120e-01
8.1684384410e-01  8.1160610122e-01
9.0551644158e-01  9.0018586653e-01
9.5546204963e-01  9.4344157776e-01
1.0317259006e+00  1.0257856290e+00
1.0176699721e+00  1.0094850053e+00
9.7093636272e-01  9.6848189431e-01
8.9390885637e-01  8.9052640381e-01
9.3628061473e-01  9.3515672957e-01
9.1554096228e-01  9.1221047770e-01
9.8854672493e-01  9.8634493776e-01
1.0338791115e+00  1.0264939207e+00
1.0098545779e+00  1.0048521473e+00
8.4048611996e-01  8.3017772124e-01
8.1317187109e-01  8.0890847611e-01
7.5500466658e-01  7.5070047095e-01
9.9863117493e-01  9.9863117493e-01
1.2382028528e+00  1.2425070484e+00
1.1852948266e+00  1.1895582216e+00
1.1563477787e+00  1.1666561774e+00
9.8985043772e-01  9.9485286839e-01
9.6548702175e-01  9.7287221252e-01
1.0114269607e+00  1.0136287479e+00
1.0843791475e+00  1.0877096320e+00
1.0637123214e+00  1.0648362065e+00
1.1059189004e+00  1.1093013530e+00
1.0289989317e+00  1.0314534001e+00
9.7951401482e-01  9.8769898158e-01
9.6680910758e-01  9.7274937924e-01
1.0230203039e+00  1.0350407757e+00
1.0797172722e+00  1.0850478472e+00
1.1287395869e+00  1.1339773298e+00
9.6835467874e-01  9.6835467874e-01
7.1653834496e-01  7.1228767410e-01
8.3996366597e-01  8.3673609993e-01
9.1338125927e-01  9.0603460715e-01
1.0227873940e+00  1.0202405450e+00
9.7322524899e-01  9.6996208513e-01
9.2321632881e-01  9.2253770556e-01
7.9366556122e-01  7.9273478645e-01
8.8074419576e-01  8.8051144771e-01
8.4749703653e-01  8.4657628199e-01
9.7392025001e-01  9.7335331214e-01
1.0557130148e+00  1.0529553787e+00
1.0235547033e+00  1.0216808298e+00
7.8664203599e-01  7.8127464976e-01
7.2135601906e-01  7.1928274714e-01
6.4036424893e-01  6.3763170453e-01
9.9724645907e-01  9.9724645907e-01
1.3468368218e+00  1.3495693662e+00
1.2752794110e+00  1.2773526829e+00
1.2066917457e+00  1.2120591320e+00
9.7560810333e-01  9.7748197683e-01
9.4254046127e-01  9.4529809735e-01
1.0259700400e+00  1.0265369778e+00
1.1521774886e+00  1.1530982431e+00
1.1192190668e+00  1.1194518148e+00
1.2057012482e+00  1.2066320229e+00
1.0765372169e+00  1.0772158402e+00
1.0202822587e+00  1.0235454225e+00
9.7367344920e-01  9.7622029829e-01
1.0504759154e+00  1.0578225676e+00
1.1337242562e+00  1.1369518222e+00
1.2001630358e+00  1.2044137067e+00
9.5423240709e-01  9.5423240709e-01
6.2777512347e-01  6.2421720376e-01
7.8468974168e-01  7.8253416968e-01
8.9952988530e-01  8.9478665695e-01
1.0328167121e+00  1.0315908804e+00
9.5790170263e-01  9.5647597592e-01
8.9695657609e-01  8.9674010023e-01
7.5073886392e-01  7.5045087097e-01
8.5950722436e-01  8.5945075577e-01
8.4127884885e-01  8.4099288999e-01
9.9184434848e-01  9.9167651328e-01
1.1378135796e+00  1.1366871063e+00
1.0819976484e+00  1.0812152977e+00
8.0781021891e-01  8.0487731415e-01
6.7244090937e-01  6.7134227447e-01
5.7117185446e-01  5.6939089605e-01
9.9489734575e-01  9.9489734575e-01
1.4068112090e+00  1.4085921674e+00
1.3207875001e+00  1.3218861350e+00
1.1793832343e+00  1.1823161391e+00
9.1586485933e-01  9.1664721006e-01
8.5787561731e-01  8.5900209062e-01
1.0077579001e+00  1.0079257353e+00
1.1575801776e+00  1.1578661365e+00
1.1403301177e+00  1.1403865863e+00
1.2472560779e+00  1.2475440709e+00
